time	V(ramp_full)
1.971916561400292e-06	-8.561708e-03
2.179864173602400e-06	-9.497415e-03
2.528730253756272e-06	-1.106684e-02
2.877387093450056e-06	-1.263522e-02
3.316081931186312e-06	-1.460882e-02
4.091922779459074e-06	-1.809895e-02
4.995946596396921e-06	-2.216577e-02
6.404762515431826e-06	-2.850343e-02
8.162673872799088e-06	-3.641151e-02
1.071307373384656e-05	-4.788467e-02
1.343593042715325e-05	-6.013363e-02
1.730494839410071e-05	-7.753868e-02
2.114415635348710e-05	-9.480963e-02
2.404711068597430e-05	-1.078688e-01
2.634651045548137e-05	-1.182128e-01
2.910241680198885e-05	-1.306104e-01
3.389506524562724e-05	-1.521705e-01
3.708114104038758e-05	-1.665032e-01
4.051457762628307e-05	-1.819488e-01
4.422123885341363e-05	-1.986234e-01
4.865061350557544e-05	-2.185493e-01
5.144114899802594e-05	-2.311027e-01
5.376701930132970e-05	-2.415657e-01
5.670521713047076e-05	-2.547834e-01
6.039453528280563e-05	-2.713801e-01
6.305936195705543e-05	-2.833680e-01
6.613839229547866e-05	-2.972192e-01
6.978891164352143e-05	-3.136413e-01
7.360615499800125e-05	-3.308133e-01
7.632507410920687e-05	-3.430446e-01
7.871914649856154e-05	-3.538145e-01
8.132809567688122e-05	-3.655510e-01
8.432147504780419e-05	-3.790169e-01
8.803138741858518e-05	-3.957061e-01
9.073403364911488e-05	-4.078642e-01
9.387094392503733e-05	-4.219757e-01
9.757385544582839e-05	-4.386335e-01
1.014708820099287e-04	-4.561645e-01
1.042650136284997e-04	-4.687341e-01
1.065757929566334e-04	-4.791293e-01
1.095162657240503e-04	-4.923571e-01
1.126879760043776e-04	-5.066252e-01
1.159252578453951e-04	-5.211883e-01
1.167252578453951e-04	-5.247872e-01
1.183252578453951e-04	-5.319849e-01
1.190000000000000e-04	-5.350202e-01
1.198000000000000e-04	-5.386190e-01
1.198800000000000e-04	-5.389789e-01
1.200400000000000e-04	-5.396987e-01
1.202800000000000e-04	-5.407784e-01
1.206000000000000e-04	-5.422179e-01
1.206320000000000e-04	-5.423619e-01
1.206960000000000e-04	-5.426497e-01
1.208240000000000e-04	-5.432256e-01
1.210800000000000e-04	-5.443773e-01
1.215920000000000e-04	-5.466805e-01
1.226160000000000e-04	-5.512871e-01
1.246640000000000e-04	-5.605000e-01
1.287600000000000e-04	-5.789261e-01
1.319332432258737e-04	-5.932012e-01
1.345658311069568e-04	-6.050440e-01
1.375058188243232e-04	-6.182697e-01
1.406252498663575e-04	-6.323026e-01
1.439588860069365e-04	-6.472991e-01
1.471466440891645e-04	-6.616395e-01
1.510868287680694e-04	-6.793646e-01
1.547001496983520e-04	-6.956193e-01
1.584337541736039e-04	-7.124151e-01
1.610279927678060e-04	-7.240854e-01
1.637172341222401e-04	-7.361830e-01
1.669088713060547e-04	-7.505408e-01
1.708462344849327e-04	-7.682532e-01
1.739983816676911e-04	-7.824333e-01
1.773751989771288e-04	-7.976241e-01
1.811735924964555e-04	-8.147114e-01
1.859896296601298e-04	-8.363765e-01
1.887696200708401e-04	-8.488824e-01
1.914018249801581e-04	-8.607236e-01
1.947099099180521e-04	-8.756051e-01
1.985968124728297e-04	-8.930905e-01
2.017208419699303e-04	-9.071441e-01
2.051128887652339e-04	-9.224034e-01
2.089520431472439e-04	-9.396740e-01
2.138033159485055e-04	-9.614977e-01
2.166237102972410e-04	-9.741853e-01
2.193101809631667e-04	-9.862705e-01
2.226647450129240e-04	-1.001361e+00
2.267568450347283e-04	-1.019770e+00
2.300527246188468e-04	-1.034596e+00
2.335919865153450e-04	-1.050518e+00
2.350956092702333e-04	-1.057282e+00
2.359927544902233e-04	-1.061318e+00
2.372057095600201e-04	-1.066774e+00
2.382000000000000e-04	-1.071247e+00
2.390000000000000e-04	-1.074846e+00
2.391142857142857e-04	-1.075360e+00
2.392285714285714e-04	-1.075874e+00
2.393428571428572e-04	-1.076388e+00
2.394571428571429e-04	-1.076902e+00
2.395714285714286e-04	-1.077417e+00
2.396857142857143e-04	-1.077931e+00
2.398000000000000e-04	-1.078445e+00
2.400962217664288e-04	-1.079777e+00
2.403924435328577e-04	-1.081110e+00
2.406886652992865e-04	-1.082443e+00
2.409848870657153e-04	-1.083775e+00
2.412811088321441e-04	-1.085108e+00
2.415773305985730e-04	-1.086440e+00
2.418735523650018e-04	-1.087773e+00
2.439800182596068e-04	-1.097249e+00
2.472919449297364e-04	-1.112148e+00
2.507933336738041e-04	-1.127899e+00
2.547847608717394e-04	-1.145854e+00
2.581950489228923e-04	-1.161196e+00
2.620214589100846e-04	-1.178409e+00
2.660143132894474e-04	-1.196371e+00
2.691555883676217e-04	-1.210502e+00
2.718002981972758e-04	-1.222399e+00
2.748406349530112e-04	-1.236076e+00
2.782250364885931e-04	-1.251301e+00
2.825577219201195e-04	-1.270792e+00
2.861859691709017e-04	-1.287114e+00
2.904796364740941e-04	-1.306429e+00
2.944095619028702e-04	-1.324108e+00
2.974202387750965e-04	-1.337651e+00
3.001132190481688e-04	-1.349766e+00
3.033753916384038e-04	-1.364441e+00
3.068417084517764e-04	-1.380034e+00
3.102793953269560e-04	-1.395499e+00
3.136121199897645e-04	-1.410491e+00
3.178263390322985e-04	-1.429449e+00
3.218220032992764e-04	-1.447424e+00
3.249384866444975e-04	-1.461443e+00
3.276641751057423e-04	-1.473705e+00
3.309313692157717e-04	-1.488402e+00
3.344425514926427e-04	-1.504197e+00
3.379940337142295e-04	-1.520174e+00
3.413828965665886e-04	-1.535419e+00
3.456641801734390e-04	-1.554678e+00
3.497086710244620e-04	-1.572873e+00
3.507110182979539e-04	-1.577382e+00
3.527157128449378e-04	-1.586400e+00
3.547906109060323e-04	-1.595734e+00
3.555906109060323e-04	-1.599333e+00
3.571906109060324e-04	-1.606530e+00
3.579906109060324e-04	-1.610129e+00
3.588000000000000e-04	-1.613770e+00
3.590400000000000e-04	-1.614850e+00
3.596000000000000e-04	-1.617369e+00
3.598240000000000e-04	-1.618376e+00
3.600800000000000e-04	-1.619528e+00
3.605920000000000e-04	-1.621831e+00
3.616160000000000e-04	-1.626438e+00
3.636640000000000e-04	-1.635651e+00
3.671447611490845e-04	-1.651309e+00
3.709201012871222e-04	-1.668293e+00
3.751448461761294e-04	-1.687298e+00
3.806016846067568e-04	-1.711845e+00
3.839642388189034e-04	-1.726972e+00
3.873477613647099e-04	-1.742193e+00
3.910167064061776e-04	-1.758698e+00
3.943118338419353e-04	-1.773521e+00
3.978407719842832e-04	-1.789396e+00
4.020262384595228e-04	-1.808224e+00
4.067062520400572e-04	-1.829277e+00
4.095050708470635e-04	-1.841868e+00
4.124156004054428e-04	-1.854961e+00
4.161922521044216e-04	-1.871950e+00
4.206300720222401e-04	-1.891914e+00
4.240917368064699e-04	-1.907486e+00
4.279300099328843e-04	-1.924753e+00
4.321766743430044e-04	-1.943856e+00
4.359882452349102e-04	-1.961003e+00
4.390069287905668e-04	-1.974582e+00
4.424930572883937e-04	-1.990265e+00
4.462372243011411e-04	-2.007108e+00
4.497399956627861e-04	-2.022865e+00
4.532981322808782e-04	-2.038872e+00
4.576606417907443e-04	-2.058496e+00
4.622223790802257e-04	-2.079017e+00
4.651750754182538e-04	-2.092300e+00
4.681907507850230e-04	-2.105866e+00
4.720928645212417e-04	-2.123420e+00
4.734711351437840e-04	-2.129620e+00
4.752434587549154e-04	-2.137593e+00
4.764000000000000e-04	-2.142796e+00
4.780000000000000e-04	-2.149993e+00
4.788000000000000e-04	-2.153592e+00
4.793805714285715e-04	-2.156204e+00
4.799611428571429e-04	-2.158815e+00
4.805417142857143e-04	-2.161427e+00
4.811222857142857e-04	-2.164039e+00
4.817028571428572e-04	-2.166650e+00
4.822834285714286e-04	-2.169262e+00
4.828640000000000e-04	-2.171874e+00
4.869600000000000e-04	-2.190300e+00
4.903292473460822e-04	-2.205456e+00
4.933918701979308e-04	-2.219234e+00
4.968963975649931e-04	-2.234999e+00
5.007236287570327e-04	-2.252215e+00
5.047496369075109e-04	-2.270326e+00
5.084721379074790e-04	-2.287072e+00
5.130473249052354e-04	-2.307654e+00
5.175997232043992e-04	-2.328133e+00
5.206334173388682e-04	-2.341780e+00
5.237909308209626e-04	-2.355984e+00
5.277601814839220e-04	-2.373839e+00
5.328383960786798e-04	-2.396684e+00
5.368706570704830e-04	-2.414823e+00
5.417342764205674e-04	-2.436702e+00
5.462333953330554e-04	-2.456941e+00
5.492934405305773e-04	-2.470707e+00
5.525696713132033e-04	-2.485445e+00
5.565540870508365e-04	-2.503369e+00
5.614709352980791e-04	-2.525487e+00
5.655769481523629e-04	-2.543958e+00
5.703529223081904e-04	-2.565443e+00
5.751548153250857e-04	-2.587044e+00
5.781855413792940e-04	-2.600678e+00
5.816012412834656e-04	-2.616043e+00
5.856119998765272e-04	-2.634086e+00
5.895392406578948e-04	-2.651752e+00
5.917701309637429e-04	-2.661788e+00
5.933382193883038e-04	-2.668842e+00
5.946638231508783e-04	-2.674805e+00
5.951487924748508e-04	-2.676987e+00
5.961187311227957e-04	-2.681350e+00
5.969187311227958e-04	-2.684949e+00
5.978000000000000e-04	-2.688913e+00
5.986000000000000e-04	-2.692512e+00
5.988880000000001e-04	-2.693808e+00
5.991760000000001e-04	-2.695103e+00
5.994640000000002e-04	-2.696399e+00
5.997520000000002e-04	-2.697694e+00
6.000400000000003e-04	-2.698990e+00
6.003280000000002e-04	-2.700285e+00
6.006160000000003e-04	-2.701581e+00
6.026640000000007e-04	-2.710794e+00
6.067600000000013e-04	-2.729220e+00
6.104683485944518e-04	-2.745902e+00
6.155186839747693e-04	-2.768620e+00
6.189216898503277e-04	-2.783929e+00
6.228547131725607e-04	-2.801622e+00
6.274372598422075e-04	-2.822236e+00
6.314592829621732e-04	-2.840329e+00
6.348076852019639e-04	-2.855392e+00
6.393681721304253e-04	-2.875907e+00
6.435759581840307e-04	-2.894836e+00
6.471490105633661e-04	-2.910909e+00
6.512861957961338e-04	-2.929520e+00
6.558932528906360e-04	-2.950245e+00
6.597502264014897e-04	-2.967596e+00
6.631091188094763e-04	-2.982706e+00
6.676548776125582e-04	-3.003155e+00
6.720671842310479e-04	-3.023003e+00
6.756390912893309e-04	-3.039071e+00
6.798692886070054e-04	-3.058101e+00
6.845403122289949e-04	-3.079113e+00
6.881248053568720e-04	-3.095238e+00
6.914914762693581e-04	-3.110383e+00
6.959907888087854e-04	-3.130623e+00
7.007083349909744e-04	-3.151845e+00
7.044231476732997e-04	-3.168556e+00
7.088577109127172e-04	-3.188505e+00
7.122221170072666e-04	-3.203639e+00
7.130221170072666e-04	-3.207238e+00
7.154221170072667e-04	-3.218035e+00
7.162221170072667e-04	-3.221633e+00
7.170000000000000e-04	-3.225132e+00
7.178000000000000e-04	-3.228731e+00
7.183645208004406e-04	-3.231271e+00
7.189290416008813e-04	-3.233810e+00
7.194935624013219e-04	-3.236350e+00
7.200580832017626e-04	-3.238889e+00
7.206226040022033e-04	-3.241429e+00
7.211871248026439e-04	-3.243968e+00
7.217516456030845e-04	-3.246508e+00
7.257344065258783e-04	-3.264424e+00
7.296900577873766e-04	-3.282218e+00
7.339328438067979e-04	-3.301304e+00
7.386569342286782e-04	-3.322556e+00
7.447808248124224e-04	-3.350104e+00
7.488900859597920e-04	-3.368589e+00
7.538151473829519e-04	-3.390744e+00
7.589495682275292e-04	-3.413841e+00
7.632763091772037e-04	-3.433305e+00
7.684278214665125e-04	-3.456479e+00
7.744475639882360e-04	-3.483559e+00
7.786547634282155e-04	-3.502485e+00
7.835079977057610e-04	-3.524317e+00
7.894120164521103e-04	-3.550876e+00
7.947494224776215e-04	-3.574886e+00
7.997127675586646e-04	-3.597213e+00
8.035925477417687e-04	-3.614666e+00
8.073544837720038e-04	-3.631589e+00
8.119280657094797e-04	-3.652164e+00
8.168391602145979e-04	-3.674256e+00
8.212729623185621e-04	-3.694201e+00
8.263996075078545e-04	-3.717263e+00
8.305144050805746e-04	-3.735773e+00
8.313144050805747e-04	-3.739372e+00
8.329144050805747e-04	-3.746570e+00
8.335999999999999e-04	-3.749654e+00
8.349711898388503e-04	-3.755822e+00
8.357711898388503e-04	-3.759421e+00
8.359999999999999e-04	-3.760450e+00
8.363423796777006e-04	-3.761990e+00
8.368000000000000e-04	-3.764049e+00
8.369142857142857e-04	-3.764563e+00
8.370285714285714e-04	-3.765077e+00
8.371428571428572e-04	-3.765591e+00
8.372571428571428e-04	-3.766105e+00
8.373714285714285e-04	-3.766619e+00
8.374857142857142e-04	-3.767133e+00
8.376000000000000e-04	-3.767648e+00
8.380120951029138e-04	-3.769501e+00
8.384241902058275e-04	-3.771355e+00
8.388362853087413e-04	-3.773209e+00
8.392483804116551e-04	-3.775063e+00
8.396604755145689e-04	-3.776917e+00
8.400725706174826e-04	-3.778770e+00
8.404846657203964e-04	-3.780624e+00
8.433920453441031e-04	-3.793703e+00
8.477742852707731e-04	-3.813416e+00
8.524313462136537e-04	-3.834366e+00
8.586417786657192e-04	-3.862303e+00
8.626522567822379e-04	-3.880344e+00
8.674800100449680e-04	-3.902061e+00
8.724083207676541e-04	-3.924231e+00
8.764660652185992e-04	-3.942485e+00
8.820986732236966e-04	-3.967823e+00
8.873857299612639e-04	-3.991606e+00
8.911267502762876e-04	-4.008435e+00
8.958873910930334e-04	-4.029851e+00
9.007718054151194e-04	-4.051823e+00
9.047085274960835e-04	-4.069532e+00
9.096919860722423e-04	-4.091950e+00
9.148921523146497e-04	-4.115343e+00
9.185457673473930e-04	-4.131778e+00
9.227406461699038e-04	-4.150649e+00
9.274456775616262e-04	-4.171814e+00
9.315245386540370e-04	-4.190163e+00
9.360043856981878e-04	-4.210315e+00
9.411342144912106e-04	-4.233391e+00
9.455839066427442e-04	-4.253408e+00
9.491429481751651e-04	-4.269418e+00
9.507218419189969e-04	-4.276521e+00
9.528422125123363e-04	-4.286059e+00
9.536422125123363e-04	-4.289658e+00
9.544844250246726e-04	-4.293447e+00
9.547009357354336e-04	-4.294421e+00
9.549174464461947e-04	-4.295394e+00
9.551339571569557e-04	-4.296368e+00
9.553504678677169e-04	-4.297342e+00
9.555669785784779e-04	-4.298316e+00
9.557834892892390e-04	-4.299290e+00
9.560000000000000e-04	-4.300264e+00
9.568000000000001e-04	-4.303863e+00
9.571678794974692e-04	-4.305518e+00
9.575357589949384e-04	-4.307173e+00
9.579036384924076e-04	-4.308828e+00
9.582715179898767e-04	-4.310483e+00
9.586393974873458e-04	-4.312138e+00
9.590072769848151e-04	-4.313792e+00
9.593751564822842e-04	-4.315447e+00
9.619911884642871e-04	-4.327215e+00
9.672232524282928e-04	-4.350751e+00
9.715446298649416e-04	-4.370191e+00
9.753671466450095e-04	-4.387386e+00
9.807900298926095e-04	-4.411781e+00
9.857079599641888e-04	-4.433904e+00
9.897942590601789e-04	-4.452286e+00
9.950915978071211e-04	-4.476115e+00
1.000546050338007e-03	-4.500652e+00
1.004340746168552e-03	-4.517722e+00
1.009107773923902e-03	-4.539166e+00
1.014096562973320e-03	-4.561608e+00
1.018193050915873e-03	-4.580036e+00
1.023303602690302e-03	-4.603025e+00
1.028683102756887e-03	-4.627224e+00
1.032547171259270e-03	-4.644607e+00
1.037098146320228e-03	-4.665079e+00
1.042048400474405e-03	-4.687347e+00
1.046242728947370e-03	-4.706215e+00
1.051136704050233e-03	-4.728230e+00
1.056493106179110e-03	-4.752326e+00
1.060509306799288e-03	-4.770392e+00
1.064849186866496e-03	-4.789915e+00
1.069860763840660e-03	-4.812459e+00
1.070660763840660e-03	-4.816058e+00
1.072600000000000e-03	-4.824782e+00
1.073278472318681e-03	-4.827834e+00
1.074443055362639e-03	-4.833073e+00
1.075000000000000e-03	-4.835578e+00
1.075800000000000e-03	-4.839177e+00
1.076600000000000e-03	-4.842775e+00
1.077180571428572e-03	-4.845387e+00
1.077761142857143e-03	-4.847999e+00
1.078341714285715e-03	-4.850610e+00
1.078922285714286e-03	-4.853222e+00
1.079502857142858e-03	-4.855834e+00
1.080083428571429e-03	-4.858445e+00
1.080664000000001e-03	-4.861057e+00
1.084760000000001e-03	-4.879483e+00
1.089310954333301e-03	-4.899955e+00
1.094413827591507e-03	-4.922910e+00
1.099737099816126e-03	-4.946856e+00
1.103986252253832e-03	-4.965971e+00
1.109500365946782e-03	-4.990775e+00
1.115185121680157e-03	-5.016347e+00
1.119285892792921e-03	-5.034795e+00
1.124690398785895e-03	-5.059106e+00
1.125248434206040e-03	-5.061616e+00
1.126364505046329e-03	-5.066637e+00
1.129396646726907e-03	-5.080277e+00
1.130800000000000e-03	-5.086590e+00
1.130880000000000e-03	-5.086950e+00
1.131040000000000e-03	-5.087669e+00
1.131065209750701e-03	-5.087783e+00
1.131071512188376e-03	-5.087811e+00
1.131084117063727e-03	-5.087868e+00
1.131109326814428e-03	-5.087981e+00
1.131159746315830e-03	-5.088208e+00
1.131260585318635e-03	-5.088662e+00
1.131356511186313e-03	-5.089093e+00
1.131457043535143e-03	-5.089546e+00
1.131494789378008e-03	-5.089715e+00
1.131524508314270e-03	-5.089849e+00
1.131540562127476e-03	-5.089921e+00
1.131567892373587e-03	-5.090044e+00
1.131600000000000e-03	-5.090189e+00
1.131603210762641e-03	-5.090203e+00
1.131609632287924e-03	-5.090232e+00
1.131622475338489e-03	-5.090290e+00
1.131648161439619e-03	-5.090405e+00
1.131699533641879e-03	-5.090636e+00
1.131802278046399e-03	-5.091099e+00
1.131950850978090e-03	-5.091767e+00
1.131968234718273e-03	-5.091845e+00
1.132003002198639e-03	-5.092001e+00
1.132045057059686e-03	-5.092191e+00
1.132074596697266e-03	-5.092324e+00
1.132108172041730e-03	-5.092474e+00
1.132175322730657e-03	-5.092777e+00
1.132309624108512e-03	-5.093381e+00
1.132493809928177e-03	-5.094209e+00
1.132679277332648e-03	-5.095044e+00
1.132886628691908e-03	-5.095976e+00
1.133135498801992e-03	-5.097096e+00
1.133421747370452e-03	-5.098383e+00
1.133749957763101e-03	-5.099860e+00
1.134134353057129e-03	-5.101589e+00
1.134590139045785e-03	-5.103640e+00
1.135165211559472e-03	-5.106226e+00
1.136014333261906e-03	-5.110046e+00
1.136752090247556e-03	-5.113365e+00
1.137550255235974e-03	-5.116955e+00
1.138443518498010e-03	-5.120974e+00
1.139482959338356e-03	-5.125649e+00
1.140703840328217e-03	-5.131142e+00
1.142219971829423e-03	-5.137962e+00
1.144112716804169e-03	-5.146476e+00
1.146528948507544e-03	-5.157345e+00
1.149460049765889e-03	-5.170531e+00
1.155322252282578e-03	-5.196901e+00
1.167046657315955e-03	-5.249642e+00
1.181695094815955e-03	-5.315537e+00
1.184095094815955e-03	-5.326334e+00
1.187295094815955e-03	-5.340728e+00
1.189905050707750e-03	-5.352469e+00
1.192305050707750e-03	-5.363265e+00
1.193105050707750e-03	-5.366864e+00
1.193400000000000e-03	-5.368191e+00
1.193989898584499e-03	-5.370844e+00
1.194200000000000e-03	-5.371789e+00
1.194620202831001e-03	-5.373680e+00
1.195000000000000e-03	-5.375388e+00
1.195037979716900e-03	-5.375559e+00
1.195113939150700e-03	-5.375901e+00
1.195265858018299e-03	-5.376584e+00
1.195496162264801e-03	-5.377620e+00
1.195800000000000e-03	-5.378987e+00
1.196012686414640e-03	-5.379944e+00
1.198200318108073e-03	-5.389784e+00
1.200387949801505e-03	-5.399625e+00
1.202575581494939e-03	-5.409466e+00
1.204763213188371e-03	-5.419307e+00
1.206950844881805e-03	-5.429148e+00
1.209138476575237e-03	-5.438989e+00
1.211326108268670e-03	-5.448830e+00
1.225974545768670e-03	-5.514724e+00
1.240622983268670e-03	-5.580619e+00
1.255271420768670e-03	-5.646513e+00
1.269919858268670e-03	-5.712408e+00
1.284568295768670e-03	-5.778303e+00
1.299216733268670e-03	-5.844197e+00
1.302021220962661e-03	-5.856813e+00
1.307321366149358e-03	-5.880655e+00
1.308389742413735e-03	-5.885461e+00
1.309458118678113e-03	-5.890267e+00
1.310526494942490e-03	-5.895073e+00
1.311594871206868e-03	-5.899879e+00
1.312663247471245e-03	-5.904685e+00
1.313731623735623e-03	-5.909491e+00
1.314800000000000e-03	-5.914297e+00
1.315600000000000e-03	-5.917895e+00
1.317671213923128e-03	-5.927213e+00
1.319742427846255e-03	-5.936530e+00
1.321813641769383e-03	-5.945847e+00
1.323884855692510e-03	-5.955164e+00
1.325956069615638e-03	-5.964481e+00
1.328027283538765e-03	-5.973798e+00
1.330098497461893e-03	-5.983115e+00
1.344625367717253e-03	-6.048463e+00
1.359273805217253e-03	-6.114357e+00
1.373922242717253e-03	-6.180252e+00
1.388570680217253e-03	-6.246146e+00
1.403219117717253e-03	-6.312040e+00
1.417867555217253e-03	-6.377934e+00
1.422319577065495e-03	-6.397962e+00
1.423988208913282e-03	-6.405468e+00
1.425656840761068e-03	-6.412974e+00
1.427325472608855e-03	-6.420480e+00
1.428994104456641e-03	-6.427986e+00
1.430662736304427e-03	-6.435492e+00
1.432331368152214e-03	-6.442998e+00
1.434000000000000e-03	-6.450504e+00
1.434800000000000e-03	-6.454103e+00
1.439563805587904e-03	-6.475533e+00
1.444327611175809e-03	-6.496962e+00
1.449091416763713e-03	-6.518391e+00
1.453855222351617e-03	-6.539821e+00
1.458619027939522e-03	-6.561250e+00
1.463382833527426e-03	-6.582680e+00
1.468146639115330e-03	-6.604109e+00
1.482795076615330e-03	-6.670003e+00
1.497443514115330e-03	-6.735897e+00
1.512091951615330e-03	-6.801791e+00
1.526740389115330e-03	-6.867685e+00
1.541551562500000e-03	-6.934311e+00
1.553800000000000e-03	-6.989409e+00
1.554600000000000e-03	-6.993008e+00
1.568168705346217e-03	-7.054045e+00
1.581737410692434e-03	-7.115082e+00
1.595306116038650e-03	-7.176118e+00
1.608874821384867e-03	-7.237155e+00
1.622443526731084e-03	-7.298192e+00
1.636012232077301e-03	-7.359229e+00
1.649580937423517e-03	-7.420266e+00
1.673000000000000e-03	-7.525613e+00
1.673800000000000e-03	-7.529212e+00
1.792800000000000e-03	-8.064514e+00
1.793600000000000e-03	-8.068112e+00
1.912000000000000e-03	-8.600714e+00
1.912800000000000e-03	-8.604313e+00
2.031800000000000e-03	-9.139611e+00
2.032600000000000e-03	-9.143209e+00
2.151000000000000e-03	-9.675807e+00
2.151800000000000e-03	-9.679405e+00
2.217484062460253e-03	-9.974871e+00
2.232132499960253e-03	-1.004076e+01
2.240021523413712e-03	-1.007625e+01
2.245605809238463e-03	-1.010137e+01
2.251432967230666e-03	-1.012758e+01
2.257522407315543e-03	-1.015497e+01
2.257821119830244e-03	-1.015632e+01
2.258418544859646e-03	-1.015901e+01
2.259613394918451e-03	-1.016438e+01
2.262003095036059e-03	-1.017513e+01
2.262290488371739e-03	-1.017642e+01
2.262865275043098e-03	-1.017901e+01
2.264014848385816e-03	-1.018416e+01
2.266313995071254e-03	-1.019402e+01
2.267319554171879e-03	-1.019757e+01
2.267988881798748e-03	-1.019938e+01
2.268661344746261e-03	-1.020091e+01
2.269200000000000e-03	-1.020202e+01
2.270000000000000e-03	-1.020357e+01
2.270018481244409e-03	-1.020359e+01
2.270130126780922e-03	-1.020379e+01
2.270241772317435e-03	-1.020399e+01
2.270353417853948e-03	-1.020418e+01
2.270465063390461e-03	-1.020437e+01
2.270576708926974e-03	-1.020456e+01
2.270688354463487e-03	-1.020475e+01
2.270800000000000e-03	-1.020494e+01
2.270914285714286e-03	-1.020513e+01
2.271028571428572e-03	-1.020531e+01
2.271142857142857e-03	-1.020549e+01
2.271257142857143e-03	-1.020568e+01
2.271371428571429e-03	-1.020586e+01
2.271485714285715e-03	-1.020604e+01
2.271600000000000e-03	-1.020622e+01
2.271849597032252e-03	-1.020659e+01
2.272134850783396e-03	-1.020702e+01
2.272705358285686e-03	-1.020784e+01
2.273846373290264e-03	-1.020935e+01
2.276128403299421e-03	-1.021213e+01
2.277641737106853e-03	-1.021383e+01
2.279223914099734e-03	-1.021546e+01
2.280889259199656e-03	-1.021704e+01
2.284219949399499e-03	-1.021985e+01
2.290959392850744e-03	-1.022502e+01
2.292847775240833e-03	-1.022626e+01
2.294736157630923e-03	-1.022744e+01
2.296624540021012e-03	-1.022857e+01
2.298512922411102e-03	-1.022963e+01
2.300401304801191e-03	-1.023064e+01
2.302289687191281e-03	-1.023159e+01
2.304178069581371e-03	-1.023248e+01
2.317500830380743e-03	-1.023841e+01
2.322386871962426e-03	-1.024033e+01
2.323175775060460e-03	-1.024061e+01
2.324753581256530e-03	-1.024116e+01
2.327367355909923e-03	-1.024202e+01
2.330106579009584e-03	-1.024290e+01
2.332555145586235e-03	-1.024365e+01
2.334387394842962e-03	-1.024420e+01
2.335994490783069e-03	-1.024466e+01
2.337766540310048e-03	-1.024516e+01
2.339663842083221e-03	-1.024567e+01
2.343336051552285e-03	-1.024662e+01
2.350680470490414e-03	-1.024833e+01
2.365328907990415e-03	-1.025141e+01
2.365498031727687e-03	-1.025145e+01
2.365836279202233e-03	-1.025151e+01
2.366512774151325e-03	-1.025163e+01
2.367865764049509e-03	-1.025187e+01
2.370571743845877e-03	-1.025235e+01
2.372781715689706e-03	-1.025273e+01
2.373069102387413e-03	-1.025277e+01
2.373643875782826e-03	-1.025287e+01
2.374793422573653e-03	-1.025306e+01
2.377092516155307e-03	-1.025342e+01
2.380212317040392e-03	-1.025390e+01
2.383935559585664e-03	-1.025445e+01
2.384735559585664e-03	-1.025457e+01
2.386335559585664e-03	-1.025480e+01
2.387272616362199e-03	-1.025493e+01
